"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.754458525E1,1.467666245E1,-2.447292328E1,-7.687805176E0
2.755458325E1,1.467666245E1,-2.447292328E1,-7.687805176E0
2.756458125E1,1.472394753E1,-2.433254242E1,-7.486999512E0
2.757457925E1,1.472394753E1,-2.433254242E1,-7.486999512E0
2.758457725E1,1.470573425E1,-2.443492126E1,-7.574279785E0
2.759457425E1,1.470573425E1,-2.443492126E1,-7.574279785E0
2.760457225E1,1.462396908E1,-2.448382568E1,-7.491088867E0
2.761457025E1,1.462396908E1,-2.448382568E1,-7.491088867E0
2.762456825E1,1.457656670E1,-2.440449333E1,-7.473937988E0
2.763456625E1,1.457656670E1,-2.440449333E1,-7.473937988E0
