"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.103235144E3,5.235609120E1,4.956331544E0,4.438380403E0,-1.000000000E0,-1.000000000E0,4.800724964E1,4.800724964E1
1.117285491E3,5.235579190E1,4.957082494E0,8.526640892E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
1.117783298E3,5.235571496E1,4.956853359E0,5.867668629E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
1.120438633E3,5.235568647E1,4.956847768E0,3.406965971E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
1.129268914E3,5.235572837E1,4.957089779E0,1.812696457E-1,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
1.129770499E3,5.235579194E1,4.957161171E0,-9.134697914E-1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
1.133399139E3,5.235580861E1,4.957194273E0,-1.705471992E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
1.133399139E3,5.235580709E1,4.957184619E0,-2.065721035E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
1.135781031E3,5.235580799E1,4.957188929E0,-2.438413620E0,-1.000000000E0,-1.000000000E0,5.634295180E1,5.634295180E1
1.136281046E3,5.235571366E1,4.956889508E0,-2.541308403E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
1.139325958E3,5.235569355E1,4.956801350E0,-2.571455002E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
1.145344095E3,5.235573289E1,4.956942782E0,-2.575065136E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
1.151377232E3,5.235577515E1,4.957104606E0,-2.574422836E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
1.151881004E3,5.235564941E1,4.956695435E0,-2.536904335E0,-1.000000000E0,-1.000000000E0,3.700000000E1,3.700000000E1
1.157895593E3,5.235574024E1,4.957000644E0,-2.858549595E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
1.158400864E3,5.235563766E1,4.956654536E0,-2.728645325E0,-1.000000000E0,-1.000000000E0,3.700000000E1,3.700000000E1
1.159234027E3,5.235560202E1,4.955089055E0,4.805995060E0,5.677729845E-1,1.755035685E2,3.200483309E1,3.200483309E1
1.160234005E3,5.235557514E1,4.955120825E0,-2.766286361E0,5.688779950E-1,1.758350649E2,3.200483309E1,3.200483309E1
1.161233985E3,5.235557519E1,4.955128303E0,-3.515655659E0,5.688779950E-1,1.588196430E2,3.200483309E1,3.200483309E1
1.162233964E3,5.235555198E1,4.955168741E0,-3.587516417E0,8.574891686E-1,1.606963468E2,3.200483309E1,3.200483309E1
1.163233944E3,5.235552853E1,4.955213942E0,-3.584028589E0,1.051186204E0,1.568336016E2,3.200483309E1,3.200483309E1
1.164233924E3,5.235551991E1,4.955236203E0,-3.571151959E0,1.413337111E0,1.586975056E2,3.200483309E1,3.200483309E1
1.165233904E3,5.235551177E1,4.955254757E0,-3.557346748E0,1.500582576E0,1.434675634E2,3.200483309E1,3.200483309E1
1.166233884E3,5.235550729E1,4.955290030E0,-3.544238322E0,1.500582576E0,1.176678352E2,3.200483309E1,3.200483309E1
1.167233864E3,5.235551085E1,4.955357685E0,-3.527670216E0,1.737859607E0,9.433751414E1,3.200483309E1,3.200483309E1
1.168233844E3,5.235552098E1,4.955401761E0,-3.511635048E0,2.305119991E0,9.565798095E1,3.200483309E1,3.200483309E1
1.169233824E3,5.235552215E1,4.955447673E0,-3.496741508E0,2.545519590E0,9.870988022E1,3.200483309E1,3.200483309E1
1.170233803E3,5.235552429E1,4.955496744E0,-3.484852907E0,2.545519590E0,1.024190554E2,3.200483309E1,3.200483309E1
1.171233784E3,5.235552136E1,4.955542933E0,-3.475012314E0,2.479839325E0,9.942689982E1,3.200483309E1,3.200483309E1
1.172233764E3,5.235552598E1,4.955608518E0,-3.466900874E0,2.479839325E0,1.011027141E2,3.200483309E1,3.200483309E1
1.173233744E3,5.235553177E1,4.955688826E0,-3.461111550E0,2.865242720E0,1.018431544E2,3.200483309E1,3.200483309E1
1.174233724E3,5.235553674E1,4.955760538E0,-3.457422114E0,3.389875889E0,1.036290644E2,3.200483309E1,3.200483309E1
1.175233704E3,5.235553032E1,4.955818590E0,-3.455109963E0,3.389875889E0,1.023404878E2,3.200483309E1,3.200483309E1
